year,country,city,city_avg,global_avg
1796,Pakistan,Karachi,25.89,8.27
1797,Pakistan,Karachi,27.03,8.51
1798,Pakistan,Karachi,25.59,8.67
1799,Pakistan,Karachi,26.14,8.51
1800,Pakistan,Karachi,26.05,8.48
1801,Pakistan,Karachi,25.52,8.59
1802,Pakistan,Karachi,26.45,8.58
1803,Pakistan,Karachi,26.20,8.50
1804,Pakistan,Karachi,26.49,8.84
1805,Pakistan,Karachi,26.14,8.56
1806,Pakistan,Karachi,26.06,8.43
1807,Pakistan,Karachi,25.85,8.28
1813,Pakistan,Karachi,25.40,7.74
1814,Pakistan,Karachi,24.86,7.59
1815,Pakistan,Karachi,24.92,7.24
1816,Pakistan,Karachi,24.46,6.94
1817,Pakistan,Karachi,24.69,6.98
1818,Pakistan,Karachi,25.43,7.83
1819,Pakistan,Karachi,24.85,7.37
1820,Pakistan,Karachi,25.01,7.62
1821,Pakistan,Karachi,25.62,8.09
1822,Pakistan,Karachi,25.69,8.19
1823,Pakistan,Karachi,25.40,7.72
1824,Pakistan,Karachi,26.12,8.55
1826,Pakistan,Karachi,25.95,8.36
1827,Pakistan,Karachi,26.23,8.81
1828,Pakistan,Karachi,25.73,8.17
1829,Pakistan,Karachi,25.54,7.94
1830,Pakistan,Karachi,25.94,8.52
1831,Pakistan,Karachi,25.24,7.64
1832,Pakistan,Karachi,25.42,7.45
1833,Pakistan,Karachi,25.66,8.01
1834,Pakistan,Karachi,25.72,8.15
1835,Pakistan,Karachi,24.85,7.39
1836,Pakistan,Karachi,25.30,7.70
1837,Pakistan,Karachi,25.17,7.38
1838,Pakistan,Karachi,25.17,7.51
1839,Pakistan,Karachi,25.32,7.63
1840,Pakistan,Karachi,25.44,7.80
1841,Pakistan,Karachi,25.75,7.69
1842,Pakistan,Karachi,25.64,8.02
1843,Pakistan,Karachi,25.58,8.17
1844,Pakistan,Karachi,25.24,7.65
1845,Pakistan,Karachi,25.42,7.85
1848,Pakistan,Karachi,25.37,7.98
1849,Pakistan,Karachi,25.42,7.98
1850,Pakistan,Karachi,25.44,7.90
1851,Pakistan,Karachi,25.61,8.18
1852,Pakistan,Karachi,25.62,8.10
1853,Pakistan,Karachi,25.63,8.04
1854,Pakistan,Karachi,25.77,8.21
1855,Pakistan,Karachi,25.93,8.11
1856,Pakistan,Karachi,24.94,8.00
1857,Pakistan,Karachi,25.15,7.76
1871,Pakistan,Karachi,24.10,8.12
1872,Pakistan,Karachi,27.16,8.19
1873,Pakistan,Karachi,26.55,8.35
1874,Pakistan,Karachi,23.06,8.43
1875,Pakistan,Karachi,26.00,7.86
1876,Pakistan,Karachi,25.75,8.08
1877,Pakistan,Karachi,25.96,8.54
1878,Pakistan,Karachi,25.87,8.83
1879,Pakistan,Karachi,25.33,8.17
1880,Pakistan,Karachi,25.95,8.12
1881,Pakistan,Karachi,25.93,8.27
1882,Pakistan,Karachi,25.52,8.13
1883,Pakistan,Karachi,25.35,7.98
1884,Pakistan,Karachi,25.61,7.77
1885,Pakistan,Karachi,25.61,7.92
1886,Pakistan,Karachi,25.89,7.95
1887,Pakistan,Karachi,25.74,7.91
1888,Pakistan,Karachi,25.74,8.09
1889,Pakistan,Karachi,26.02,8.32
1890,Pakistan,Karachi,25.73,7.97
1891,Pakistan,Karachi,25.80,8.02
1892,Pakistan,Karachi,26.32,8.07
1893,Pakistan,Karachi,25.30,8.06
1894,Pakistan,Karachi,25.48,8.16
1895,Pakistan,Karachi,25.94,8.15
1896,Pakistan,Karachi,26.45,8.21
1897,Pakistan,Karachi,26.09,8.29
1898,Pakistan,Karachi,26.24,8.18
1899,Pakistan,Karachi,26.35,8.40
1900,Pakistan,Karachi,26.51,8.50
1901,Pakistan,Karachi,26.18,8.54
1902,Pakistan,Karachi,26.75,8.30
1903,Pakistan,Karachi,25.74,8.22
1904,Pakistan,Karachi,26.10,8.09
1905,Pakistan,Karachi,25.55,8.23
1906,Pakistan,Karachi,25.84,8.38
1907,Pakistan,Karachi,25.84,7.95
1908,Pakistan,Karachi,25.70,8.19
1909,Pakistan,Karachi,25.62,8.18
1910,Pakistan,Karachi,25.52,8.22
1911,Pakistan,Karachi,25.50,8.18
1912,Pakistan,Karachi,26.29,8.17
1913,Pakistan,Karachi,25.85,8.30
1914,Pakistan,Karachi,26.11,8.59
1915,Pakistan,Karachi,26.24,8.59
1916,Pakistan,Karachi,25.86,8.23
1917,Pakistan,Karachi,25.59,8.02
1918,Pakistan,Karachi,25.52,8.13
1919,Pakistan,Karachi,25.69,8.38
1920,Pakistan,Karachi,26.07,8.36
1921,Pakistan,Karachi,26.20,8.57
1922,Pakistan,Karachi,26.03,8.41
1923,Pakistan,Karachi,25.48,8.42
1924,Pakistan,Karachi,26.06,8.51
1925,Pakistan,Karachi,25.95,8.53
1926,Pakistan,Karachi,26.12,8.73
1927,Pakistan,Karachi,25.63,8.52
1928,Pakistan,Karachi,26.01,8.63
1929,Pakistan,Karachi,25.91,8.24
1930,Pakistan,Karachi,25.83,8.63
1931,Pakistan,Karachi,26.29,8.72
1932,Pakistan,Karachi,26.11,8.71
1933,Pakistan,Karachi,25.90,8.34
1934,Pakistan,Karachi,25.88,8.63
1935,Pakistan,Karachi,25.69,8.52
1936,Pakistan,Karachi,26.01,8.55
1937,Pakistan,Karachi,25.82,8.70
1938,Pakistan,Karachi,25.79,8.86
1939,Pakistan,Karachi,25.75,8.76
1940,Pakistan,Karachi,26.22,8.76
1941,Pakistan,Karachi,26.76,8.77
1942,Pakistan,Karachi,26.30,8.73
1943,Pakistan,Karachi,26.17,8.76
1944,Pakistan,Karachi,26.03,8.85
1945,Pakistan,Karachi,25.72,8.58
1946,Pakistan,Karachi,26.13,8.68
1947,Pakistan,Karachi,26.38,8.80
1948,Pakistan,Karachi,26.30,8.75
1949,Pakistan,Karachi,26.16,8.59
1950,Pakistan,Karachi,25.48,8.37
1951,Pakistan,Karachi,26.29,8.63
1952,Pakistan,Karachi,26.26,8.64
1953,Pakistan,Karachi,26.78,8.87
1954,Pakistan,Karachi,26.37,8.56
1955,Pakistan,Karachi,26.19,8.63
1956,Pakistan,Karachi,25.75,8.28
1957,Pakistan,Karachi,25.84,8.73
1958,Pakistan,Karachi,26.84,8.77
1959,Pakistan,Karachi,26.33,8.73
1960,Pakistan,Karachi,26.20,8.58
1961,Pakistan,Karachi,25.90,8.80
1962,Pakistan,Karachi,26.11,8.75
1963,Pakistan,Karachi,26.63,8.86
1964,Pakistan,Karachi,25.86,8.41
1965,Pakistan,Karachi,26.17,8.53
1966,Pakistan,Karachi,26.14,8.60
1967,Pakistan,Karachi,25.94,8.70
1968,Pakistan,Karachi,25.91,8.52
1969,Pakistan,Karachi,26.43,8.60
1970,Pakistan,Karachi,26.44,8.70
1971,Pakistan,Karachi,26.21,8.60
1972,Pakistan,Karachi,25.93,8.50
1973,Pakistan,Karachi,26.12,8.95
1974,Pakistan,Karachi,26.20,8.47
1975,Pakistan,Karachi,25.87,8.74
1976,Pakistan,Karachi,26.09,8.35
1977,Pakistan,Karachi,26.84,8.85
1978,Pakistan,Karachi,26.21,8.69
1979,Pakistan,Karachi,26.28,8.73
1980,Pakistan,Karachi,26.68,8.98
1981,Pakistan,Karachi,26.57,9.17
1982,Pakistan,Karachi,26.29,8.64
1983,Pakistan,Karachi,26.10,9.03
1984,Pakistan,Karachi,25.91,8.69
1985,Pakistan,Karachi,26.34,8.66
1986,Pakistan,Karachi,26.10,8.83
1987,Pakistan,Karachi,26.88,8.99
1988,Pakistan,Karachi,27.21,9.20
1989,Pakistan,Karachi,26.25,8.92
1990,Pakistan,Karachi,26.39,9.23
1991,Pakistan,Karachi,26.34,9.18
1992,Pakistan,Karachi,26.36,8.84
1993,Pakistan,Karachi,27.25,8.87
1994,Pakistan,Karachi,26.36,9.04
1995,Pakistan,Karachi,26.63,9.35
1996,Pakistan,Karachi,26.50,9.04
1997,Pakistan,Karachi,26.29,9.20
1998,Pakistan,Karachi,27.36,9.52
1999,Pakistan,Karachi,27.14,9.29
2000,Pakistan,Karachi,27.12,9.20
2001,Pakistan,Karachi,27.28,9.41
2002,Pakistan,Karachi,27.20,9.57
2003,Pakistan,Karachi,26.97,9.53
2004,Pakistan,Karachi,27.50,9.32
2005,Pakistan,Karachi,26.80,9.70
2006,Pakistan,Karachi,26.73,9.53
2007,Pakistan,Karachi,27.21,9.73
2008,Pakistan,Karachi,26.74,9.43
2009,Pakistan,Karachi,27.41,9.51
2010,Pakistan,Karachi,27.45,9.70
2011,Pakistan,Karachi,27.02,9.52
2012,Pakistan,Karachi,26.75,9.51
2013,Pakistan,Karachi,27.21,9.61
